,VIN_110,County,City,State,Postal_Code,Model_Year,Make,Model,Electric_Vehicle_Type,Clean_Alternative_Fuel_Vehicle_CAFV_Eligibility,Electric_Range,Base_MSRP,Legislative_District,DOL_Vehicle_ID,Electric_Utility,2020_Census_Tract,Latitude,Longitude
11037,KNDCE3LGXN,KING,BOTHELL,WA,98011,2022,KIA,NIRO,BATTERY ELECTRIC VEHICLE (BEV),Eligibility unknown as battery range has not been researched,0,0,1,179576407,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033021804.00,47.76144,-122.20563
11038,WBY1Z4C54G,KING,SEATTLE,WA,98107,2016,BMW,I3,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),Clean Alternative Fuel Vehicle Eligible,72,0,43,208192190,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033004800.00,47.67597,-122.38591
11044,5YJXCBE23H,KING,BELLEVUE,WA,98006,2017,TESLA,MODEL X,BATTERY ELECTRIC VEHICLE (BEV),Clean Alternative Fuel Vehicle Eligible,200,0,41,265006318,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033024901.00,47.55584,-122.12096
11047,JN8DF0BF4S,KING,KIRKLAND,WA,98034,2025,NISSAN,ARIYA,BATTERY ELECTRIC VEHICLE (BEV),Eligibility unknown as battery range has not been researched,0,0,45,278032247,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022005.00,47.72201,-122.22901
11054,WAUEJBFW5N,KING,SEATTLE,WA,98144,2022,AUDI,E-TRON GT,BATTERY ELECTRIC VEHICLE (BEV),Eligibility unknown as battery range has not been researched,0,0,37,214724408,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033008900.00,47.57874,-122.30866
11061,JN1DF0BB1P,KING,BELLEVUE,WA,98004,2023,NISSAN,ARIYA,BATTERY ELECTRIC VEHICLE (BEV),Eligibility unknown as battery range has not been researched,0,0,48,265594080,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023806.00,47.61001,-122.18720
11064,JTMFB3FV3N,KING,SEATTLE,WA,98103,2022,TOYOTA,RAV4 PRIME,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),Clean Alternative Fuel Vehicle Eligible,42,0,43,195159814,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033004800.00,47.67596,-122.35436
11065,3FMTK4SX9M,SNOHOMISH,SNOHOMISH,WA,98296,2021,FORD,MUSTANG MACH-E,BATTERY ELECTRIC VEHICLE (BEV),Eligibility unknown as battery range has not been researched,0,0,44,194260545,PUGET SOUND ENERGY INC,53061052105.00,47.87115,-122.13890
11074,5UXKT0C54H,KING,SEATTLE,WA,98125,2017,BMW,X5,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),Not eligible due to low battery range,14,0,46,102371979,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000900.00,47.72656,-122.30253
11077,4JGDM2EB1R,KING,BELLEVUE,WA,98004,2024,MERCEDES-BENZ,EQS-CLASS SUV,BATTERY ELECTRIC VEHICLE (BEV),Eligibility unknown as battery range has not been researched,0,0,48,268460923,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033024001.00,47.61001,-122.18720
11080,2C4RC1N79H,KING,SEATTLE,WA,98125,2017,CHRYSLER,PACIFICA,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),Clean Alternative Fuel Vehicle Eligible,33,0,46,187495745,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033000900.00,47.72656,-122.30253
11081,4JGGM1CB8R,KING,BELLEVUE,WA,98004,2024,MERCEDES-BENZ,EQE-CLASS SUV,BATTERY ELECTRIC VEHICLE (BEV),Eligibility unknown as battery range has not been researched,0,0,41,277344336,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023902.00,47.61001,-122.18720
11082,1V2VMPE82P,KING,REDMOND,WA,98052,2023,VOLKSWAGEN,ID.4,BATTERY ELECTRIC VEHICLE (BEV),Eligibility unknown as battery range has not been researched,0,0,45,255485233,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032321.00,47.67858,-122.13158
11088,JM3KKCHAXS,KING,KIRKLAND,WA,98033,2025,MAZDA,CX-90,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),Not eligible due to low battery range,26,0,48,276380394,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022603.00,47.67887,-122.20660
